Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00003_00000.ppm;64;64;6;6;58;58;3
00003_00001.ppm;64;64;6;6;58;58;3
00003_00002.ppm;64;64;6;6;58;58;3
00003_00003.ppm;64;64;6;6;58;58;3
00003_00004.ppm;64;64;6;6;58;58;3
00003_00005.ppm;64;64;6;6;58;58;3
00003_00006.ppm;64;64;6;6;58;58;3
00003_00007.ppm;64;64;6;6;58;58;3
00003_00008.ppm;64;64;6;6;58;58;3
00003_00009.ppm;64;64;6;6;58;58;3
00003_00010.ppm;64;64;6;6;58;58;3
00003_00011.ppm;64;64;6;6;58;58;3
00003_00012.ppm;64;64;6;6;58;58;3
00003_00013.ppm;64;64;6;6;58;58;3
00003_00014.ppm;64;64;6;6;58;58;3
00003_00015.ppm;64;64;6;6;58;58;3
00003_00016.ppm;64;64;6;6;58;58;3
00003_00017.ppm;64;64;6;6;58;58;3
00003_00018.ppm;64;64;6;6;58;58;3
00003_00019.ppm;64;64;6;6;58;58;3
00003_00020.ppm;64;64;6;6;58;58;3
00003_00021.ppm;64;64;6;6;58;58;3
00003_00022.ppm;64;64;6;6;58;58;3
00003_00023.ppm;64;64;6;6;58;58;3
00003_00024.ppm;64;64;6;6;58;58;3
00003_00025.ppm;64;64;6;6;58;58;3
00003_00026.ppm;64;64;6;6;58;58;3
00003_00027.ppm;64;64;6;6;58;58;3
00003_00028.ppm;64;64;6;6;58;58;3
00003_00029.ppm;64;64;6;6;58;58;3
00003_00030.ppm;64;64;6;6;58;58;3
00003_00031.ppm;64;64;6;6;58;58;3
00003_00032.ppm;64;64;6;6;58;58;3
00003_00033.ppm;64;64;6;6;58;58;3
00003_00034.ppm;64;64;6;6;58;58;3
00003_00035.ppm;64;64;6;6;58;58;3
00003_00036.ppm;64;64;6;6;58;58;3
00003_00037.ppm;64;64;6;6;58;58;3
00003_00038.ppm;64;64;6;6;58;58;3
00003_00039.ppm;64;64;6;6;58;58;3
00003_00040.ppm;64;64;6;6;58;58;3
00003_00041.ppm;64;64;6;6;58;58;3
00003_00042.ppm;64;64;6;6;58;58;3
00003_00043.ppm;64;64;6;6;58;58;3
00003_00044.ppm;64;64;6;6;58;58;3
00003_00045.ppm;64;64;6;6;58;58;3
00003_00046.ppm;64;64;6;6;58;58;3
00003_00047.ppm;64;64;6;6;58;58;3
00003_00048.ppm;64;64;6;6;58;58;3
00003_00049.ppm;64;64;6;6;58;58;3
