Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00001_00000.ppm;64;64;6;6;58;58;1
00001_00001.ppm;64;64;6;6;58;58;1
00001_00002.ppm;64;64;6;6;58;58;1
00001_00003.ppm;64;64;6;6;58;58;1
00001_00004.ppm;64;64;6;6;58;58;1
00001_00005.ppm;64;64;6;6;58;58;1
00001_00006.ppm;64;64;6;6;58;58;1
00001_00007.ppm;64;64;6;6;58;58;1
00001_00008.ppm;64;64;6;6;58;58;1
00001_00009.ppm;64;64;6;6;58;58;1
00001_00010.ppm;64;64;6;6;58;58;1
00001_00011.ppm;64;64;6;6;58;58;1
00001_00012.ppm;64;64;6;6;58;58;1
00001_00013.ppm;64;64;6;6;58;58;1
00001_00014.ppm;64;64;6;6;58;58;1
00001_00015.ppm;64;64;6;6;58;58;1
00001_00016.ppm;64;64;6;6;58;58;1
00001_00017.ppm;64;64;6;6;58;58;1
00001_00018.ppm;64;64;6;6;58;58;1
00001_00019.ppm;64;64;6;6;58;58;1
00001_00020.ppm;64;64;6;6;58;58;1
00001_00021.ppm;64;64;6;6;58;58;1
00001_00022.ppm;64;64;6;6;58;58;1
00001_00023.ppm;64;64;6;6;58;58;1
00001_00024.ppm;64;64;6;6;58;58;1
00001_00025.ppm;64;64;6;6;58;58;1
00001_00026.ppm;64;64;6;6;58;58;1
00001_00027.ppm;64;64;6;6;58;58;1
00001_00028.ppm;64;64;6;6;58;58;1
00001_00029.ppm;64;64;6;6;58;58;1
00001_00030.ppm;64;64;6;6;58;58;1
00001_00031.ppm;64;64;6;6;58;58;1
00001_00032.ppm;64;64;6;6;58;58;1
00001_00033.ppm;64;64;6;6;58;58;1
00001_00034.ppm;64;64;6;6;58;58;1
00001_00035.ppm;64;64;6;6;58;58;1
00001_00036.ppm;64;64;6;6;58;58;1
00001_00037.ppm;64;64;6;6;58;58;1
00001_00038.ppm;64;64;6;6;58;58;1
00001_00039.ppm;64;64;6;6;58;58;1
00001_00040.ppm;64;64;6;6;58;58;1
00001_00041.ppm;64;64;6;6;58;58;1
00001_00042.ppm;64;64;6;6;58;58;1
00001_00043.ppm;64;64;6;6;58;58;1
00001_00044.ppm;64;64;6;6;58;58;1
00001_00045.ppm;64;64;6;6;58;58;1
00001_00046.ppm;64;64;6;6;58;58;1
00001_00047.ppm;64;64;6;6;58;58;1
00001_00048.ppm;64;64;6;6;58;58;1
00001_00049.ppm;64;64;6;6;58;58;1
